Designator,Mid X,Mid Y,Rotation,Layer
C1,212.0,-34.05,90.0,top
C2,216.5,-34.05,90.0,top
C3,213.0,-82.0,270.0,top
C4,168.5,-41.0,90.0,top
C5,190.0,-53.5,0.0,top
C6,190.0,-41.5,0.0,top
C7,162.0,-50.05,270.0,top
C8,133.5,-81.5,0.0,top
C9,128.0,-50.0,270.0,top
D1,216.5,-81.95,90.0,top
D2,175.0,-46.5,180.0,top
D3,220.0,-70.0,180.0,top
D4,132.0,-35.0,0.0,top
J1,175.0,-34.0,180.0,top
J2,183.5,-79.5,270.0,top
J3,201.5,-79.5,270.0,top
J4,149.0,-79.5,270.0,top
J5,166.5,-79.5,270.0,top
J6,155.05,-35.0,0.0,top
J8,142.5,-35.0,0.0,top
R1,220.0,-75.5,0.0,top
R2,183.0,-34.5875,90.0,top
R3,167.0,-34.5875,90.0,top
R4,190.0,-34.0,180.0,top
R5,198.0,-34.0,0.0,top
R6,206.0,-34.0,0.0,top
SW1,144.75,-67.5,0.0,top
SW2,164.75,-67.5,0.0,top
SW3,184.75,-67.5,0.0,top
SW4,204.75,-67.5,0.0,top
SW5,220.0,-82.0,90.0,top
SW6,175.0,-54.0,180.0,top
SW7,220.0,-65.0,90.0,top
U1,208.75,-47.0,270.0,top
U2,175.0,-41.0,90.0,top
U3,189.8,-47.5,180.0,top
U4,130.0,-59.0,0.0,top
