Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,10u,
"C2, C4",0805,2,100n,
C3,0805,1,1u,
"C5, C6, C7, C9",0805,4,22u,
C8,CP_Elec_8x10.5,1,470u 16v,
D2,D_SMA,1,SS34,
D4,D_SMA,1,SS54,
J1,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_16P,
J2,PinHeader_1x03_P2.54mm_Horizontal,1,Servo_3_Header,
J3,PinHeader_1x03_P2.54mm_Horizontal,1,Servo_4_Header,
J4,PinHeader_1x03_P2.54mm_Horizontal,1,Servo_1_Header,
J5,PinHeader_1x03_P2.54mm_Horizontal,1,Servo_2_Header,
J6,AMASS_XT30U-F_1x02_P5.0mm_Vertical,1,BAT_XT30,
J8,TestPoint_2Pads_Pitch5.08mm_Drill1.3mm,1,BAT_Pads,
"R1, R4, R6",0805,3,10k,
"R2, R3",0805,2,5.1k,
R5,0805,1,4.7k,
"SW1, SW2, SW3, SW4",RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_MountingHoles,4,EC 11,
"SW5, SW7",SW_SPST_TS-1088-xR020,2,SW_Push,
SW6,SW-TH_XKB_SS-12M11XX,1,SW_SPDT,C2879832
U1,ESP32-C6-WROOM-1,1,ESP32-C6-WROOM-1,
U2,SOT-23-6,1,USBLC6-2SC6,
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,
U4,mini650,1,Mini560,
